Frequency,Channel A,Channel B
(ms),(mV),(mV)

-37.33409187,102.74360000,17.89911000
-37.31361187,102.96940000,18.01202000
-37.29313187,103.65310000,18.18293000
-37.27265187,104.10470000,18.63918000
-37.25217187,104.56250000,18.69564000
-37.23169187,105.01420000,19.03745000
-37.21121187,105.92360000,19.26481000
-37.19073187,106.60730000,19.32127000
-37.17025187,107.05890000,19.49217000
-37.14977187,107.96840000,19.32127000
-37.12929187,108.65200000,19.54863000
-37.10881187,109.10980000,19.60509000
-37.08833187,109.56140000,19.89044000
-37.06785187,109.78730000,19.89044000
-37.04737187,110.01920000,20.11780000
-37.02689187,110.69670000,20.23072000
-37.00641187,111.15450000,20.68697000
-36.98593187,111.38030000,21.25614000
-36.96545187,112.06400000,21.31260000
-36.94497187,112.74760000,21.19816000
-36.92449187,113.42510000,21.42552000
-36.90401187,114.33450000,21.76733000
-36.88353187,115.01820000,21.76733000
-36.86305187,115.70180000,21.88177000
-36.84257187,116.15340000,21.42705000
-36.82209187,116.61120000,21.36906000
-36.80161187,116.83710000,21.71087000
-36.78113187,117.52070000,21.76733000
-36.76065187,117.97230000,21.65441000
-36.74017187,118.20430000,21.82531000
-36.71969187,118.65600000,22.16559000
-36.69921187,118.65600000,22.67830000
-36.67873187,119.11370000,23.07657000
-36.65825187,120.02320000,23.07657000
-36.63777187,120.47490000,23.36039000
-36.61729187,120.93260000,23.64574000
-36.59681187,121.38430000,23.87310000
-36.57633187,122.06790000,23.75866000
-36.55585187,122.75150000,23.64574000
-36.53537187,123.20930000,23.47484000
-36.51489187,124.11880000,23.47484000
-36.49441187,124.11880000,23.53130000
-36.47393187,124.57660000,23.47484000
-36.45345187,125.25410000,23.64574000
-36.43297187,125.48600000,23.70220000
-36.41249187,126.16350000,24.04401000
-36.39201187,126.16350000,24.32783000
-36.37153187,126.84710000,24.49873000
-36.35105187,127.30490000,24.83901000
-36.33057187,127.98240000,25.06790000
-36.31009187,128.21440000,25.12436000
-36.28961187,128.21440000,24.95346000
-36.26913187,128.89190000,25.12436000
-36.24865187,129.12380000,25.35172000
-36.22817187,130.03330000,25.35172000
-36.20769187,130.25910000,25.40818000
-36.18721187,130.25910000,25.46617000
-36.16673187,130.48490000,25.74999000
-36.14625187,130.94270000,25.92089000
-36.12577187,131.39440000,26.60451000
