Frequency,Channel A,Channel B
(ms),(V),(mV)

-43.58217029,-2.92474100,-411.57260000
-43.56169029,-2.92474100,-413.28160000
-43.54121029,-2.93038700,-413.84620000
-43.52073029,-2.93603300,-414.41080000
-43.50025029,-2.93603300,-414.41080000
-43.47977029,-2.93603300,-414.41080000
-43.45929029,-2.93603300,-414.97540000
-43.43881029,-2.93603300,-415.54000000
-43.41833029,-2.94167900,-416.10460000
-43.39785029,-2.95297100,-416.66920000
-43.37737029,-2.95861700,-417.79840000
-43.35689029,-2.96426300,-418.94280000
-43.33641029,-2.96990900,-420.07200000
-43.31593029,-2.97555500,-421.20120000
-43.29545029,-2.98120100,-421.76580000
-43.27497029,-2.98699900,-422.33040000
-43.25449029,-2.98699900,-422.91020000
-43.23401029,-2.98699900,-422.91020000
-43.21353029,-2.98699900,-423.47480000
-43.19305029,-2.98699900,-424.03940000
-43.17257029,-2.98699900,-424.60400000
-43.15209029,-2.98699900,-425.73320000
-43.13161029,-2.98699900,-426.29780000
-43.11113029,-2.98699900,-426.86240000
-43.09065029,-2.98699900,-427.42700000
-43.07017029,-2.98699900,-427.99150000
-43.04969029,-2.98699900,-427.99150000
-43.02921029,-2.98699900,-427.99150000
-43.00873029,-2.98699900,-428.55620000
-42.98825029,-2.98699900,-428.55620000
-42.96777029,-2.98699900,-429.12070000
-42.94729029,-2.98699900,-429.68530000
-42.92681029,-2.98699900,-429.68530000
-42.90633029,-2.98699900,-430.24990000
-42.88585029,-2.98120100,-430.24990000
-42.86537029,-2.98120100,-430.81450000
-42.84489029,-2.97555500,-431.37910000
-42.82441029,-2.97555500,-431.37910000
-42.80393029,-2.96990900,-431.37910000
-42.78345029,-2.96426300,-431.37910000
-42.76297029,-2.95861700,-431.94370000
-42.74249029,-2.95297100,-431.94370000
-42.72201029,-2.95297100,-433.08810000
-42.70153029,-2.94732500,-433.08810000
-42.68105029,-2.94732500,-432.52360000
-42.66057029,-2.94167900,-433.08810000
-42.64009029,-2.94167900,-433.08810000
-42.61961029,-2.93603300,-433.08810000
-42.59913029,-2.93038700,-433.08810000
-42.57865029,-2.92474100,-433.08810000
-42.55817029,-2.91909600,-432.52360000
-42.53769029,-2.91345000,-432.52360000
-42.51721030,-2.90780400,-432.52360000
-42.49673030,-2.89635900,-431.95900000
-42.47625030,-2.88506700,-431.37910000
-42.45577030,-2.87942100,-431.37910000
-42.43529030,-2.86812900,-430.81450000
-42.41481030,-2.85683800,-430.81450000
-42.39433030,-2.84554600,-430.24990000
-42.37385030,-2.83425400,-430.24990000
-42.35337030,-2.82296200,-429.68530000
-42.33289030,-2.81151800,-429.68530000
-42.31241030,-2.80022600,-429.68530000
-42.29193030,-2.78328800,-429.12070000
-42.27145030,-2.77199600,-428.55620000
-42.25097030,-2.76070400,-427.99150000
-42.23049030,-2.74941300,-427.42700000
-42.21001030,-2.73247500,-426.86240000
-42.18953030,-2.71538400,-426.86240000
-42.16905030,-2.69844700,-425.73320000
-42.14857030,-2.67586300,-425.73320000
-42.12809030,-2.65892500,-425.16860000
-42.10761030,-2.64183500,-425.16860000
-42.08713030,-2.61925100,-424.60400000
-42.06665030,-2.59666700,-424.60400000
-42.04617030,-2.57393100,-424.03940000
-42.02569030,-2.54570200,-423.47480000
-42.00521030,-2.52311800,-422.89500000
-41.98473030,-2.50602700,-422.33040000
-41.96425030,-2.48344400,-422.33040000
-41.94377030,-2.46086000,-422.33040000
-41.92329030,-2.43827600,-422.33040000
-41.90281030,-2.40989400,-421.76580000
-41.88233030,-2.38731100,-421.20120000
-41.86185030,-2.37037300,-420.07200000
-41.84137030,-2.34763600,-419.50740000
-41.82089030,-2.32505300,-418.94280000
-41.80041030,-2.30246900,-417.79840000
-41.77993030,-2.27408700,-416.66920000
-41.75945030,-2.25150300,-415.54000000
-41.73897030,-2.22891900,-414.97540000
-41.71849030,-2.20069000,-414.41080000
-41.69801030,-2.17230700,-414.41080000
-41.67753030,-2.14407800,-413.84620000
-41.65705030,-2.11020200,-412.71700000
-41.63657030,-2.08182000,-412.15240000
-41.61609030,-2.05923700,-411.00800000
-41.59561030,-2.03100700,-410.44340000
-41.57513030,-2.00262500,-409.31420000
-41.55465030,-1.98004100,-408.18500000
-41.53417030,-1.95181100,-407.05580000
-41.51369030,-1.92342900,-406.49120000
-41.49321030,-1.90084500,-405.92670000
-41.47273030,-1.87261600,-405.36210000
-41.45225030,-1.83858800,-404.23290000
-41.43177030,-1.81035800,-403.08850000
-41.41129030,-1.77633000,-401.95930000
-41.39081030,-1.74810000,-400.83010000
-41.37033030,-1.71987100,-400.26550000
-41.34985030,-1.69148800,-396.86270000
-41.32937030,-1.65761300,-395.73350000
-41.30889030,-1.62938300,-394.60430000
-41.28841030,-1.60100100,-394.03970000
-41.26793030,-1.56712500,-392.34590000
-41.24745030,-1.54454200,-391.78130000
-41.22697030,-1.51051400,-390.63690000
-41.20649030,-1.47663800,-388.94310000
-41.18601030,-1.44825600,-390.07230000
-41.16553030,-1.42002600,-388.37850000
-41.14505030,-1.38615100,-386.68480000
-41.12457030,-1.35776900,-385.55560000
-41.10409030,-1.33518500,-384.99100000
-41.08361030,-1.30695500,-383.86180000
-41.06313030,-1.27857300,-382.71730000
-41.04265030,-1.25598900,-381.02360000
-41.02217030,-1.22776000,-379.89440000
-41.00169030,-1.19937700,-378.76520000
-40.98121030,-1.17679400,-377.63600000
-40.96073030,-1.14856400,-375.92700000
-40.94025030,-1.11453600,-374.23320000
-40.91977030,-1.08630600,-372.53940000
-40.89929030,-1.05792400,-371.41020000
-40.87881031,-1.02404900,-370.84560000
-40.85833031,-0.99581900,-369.13660000
-40.83785031,-0.96743670,-368.00740000
-40.81737031,-0.93920710,-366.31360000
-40.79689031,-0.91097750,-365.18450000
-40.77641031,-0.88824120,-364.05530000
-40.75593031,-0.86001160,-362.34630000
-40.73545031,-0.83178200,-360.08790000
-40.71497031,-0.80904570,-358.95870000
-40.69449031,-0.78081610,-357.24970000
-40.67401031,-0.75823240,-355.55590000
-40.65353031,-0.72985020,-354.42670000
-40.63305031,-0.70162050,-353.29750000
-40.61257031,-0.67339090,-351.60370000
-40.59209031,-0.65065460,-349.89470000
-40.57161031,-0.62807100,-348.76550000
-40.55113031,-0.60548720,-346.50710000
-40.53065031,-0.58290350,-345.37800000
-40.51017031,-0.55452130,-344.24880000
-40.48969031,-0.53193760,-342.55500000
-40.46921031,-0.50935390,-340.28130000
-40.44873031,-0.48661760,-338.58760000
-40.42825031,-0.46403390,-337.45840000
-40.40777031,-0.44145020,-335.74940000
-40.38729031,-0.41871400,-334.62020000
-40.36681031,-0.39613030,-332.36180000
-40.34633031,-0.37354660,-330.08820000
-40.32585031,-0.35096280,-328.39440000
-40.30537031,-0.33387250,-325.57140000
-40.28489031,-0.31128880,-324.44230000
-40.26441031,-0.28305920,-322.16860000
-40.24393031,-0.26047550,-320.47490000
-40.22345031,-0.23773920,-318.21650000
-40.20297031,-0.21515550,-316.52270000
-40.18249031,-0.19821770,-314.24910000
-40.16201031,-0.17548140,-311.99070000
-40.14153031,-0.15289770,-311.42610000
-40.12105031,-0.13031400,-309.15250000
-40.10057031,-0.11337630,-307.45870000
-40.08009031,-0.09063997,-305.76490000
-40.05961031,-0.06805628,-303.50660000
-40.03913031,-0.05111850,-301.79750000
-40.01865031,-0.02853481,-300.66830000
-39.99817031,-0.01144444,-298.97450000
-39.97769031,0.01098666,-297.28080000
-39.95721031,0.02792444,-295.00710000
-39.93673031,0.05050813,-293.31340000
-39.91625031,0.06759850,-291.61960000
-39.89577031,0.08453627,-290.49040000
-39.87529031,0.10712000,-288.23210000
-39.85481031,0.12405770,-285.95840000
-39.83433031,0.14099550,-284.26460000
-39.81385031,0.15793330,-282.00630000
-39.79337031,0.18066960,-280.31250000
-39.77289031,0.19196140,-278.03890000
-39.75241031,0.20889920,-275.78050000
-39.73193031,0.22583700,-272.95760000
-39.71145031,0.24277470,-271.24850000
-39.69097031,0.25971250,-268.99010000
-39.67049031,0.28229620,-266.73180000
-39.65001031,0.29938660,-265.02270000
-39.62953031,0.31067840,-262.76430000
-39.60905031,0.32761620,-261.07060000
-39.58857031,0.34455400,-258.79690000
-39.56809031,0.36713770,-257.10310000
-39.54761031,0.38422800,-254.84480000
-39.52713031,0.40116580,-252.57120000
-39.50665031,0.41245760,-249.18360000
-39.48617031,0.42939540,-246.92520000
-39.46569031,0.44633320,-244.65160000
-39.44521031,0.46906950,-241.82860000
-39.42473031,0.48600730,-239.57030000
-39.40425031,0.49729910,-237.29670000
-39.38377031,0.50859090,-234.47370000
-39.36329031,0.52552870,-232.21530000
-39.34281031,0.54261910,-231.07090000
-39.32233031,0.55955680,-228.81250000
-39.30185031,0.57649460,-226.55410000
-39.28137031,0.58778650,-224.28050000
-39.26089031,0.59907840,-222.02210000
-39.24041031,0.61616870,-219.19920000
-39.21993032,0.63310650,-215.79640000
-39.19945032,0.64439830,-213.53800000
-39.17897032,0.66133610,-211.26440000
-39.15849032,0.67262790,-209.00600000
-39.13801032,0.68391980,-206.18300000
-39.11753032,0.69521160,-203.90940000
-39.09705032,0.71230200,-201.65100000
-39.07657032,0.72359380,-199.95730000
-39.05609032,0.73488570,-199.39270000
-39.03561032,0.75182350,-197.11900000
-39.01513032,0.76311530,-194.86070000
-38.99465032,0.77440710,-192.03770000
-38.97417032,0.78569900,-189.76410000
-38.95369032,0.79714350,-188.07030000
-38.93321032,0.80843530,-185.24730000
-38.91273032,0.81972720,-182.40910000
-38.89225032,0.83101900,-179.58620000
-38.87177032,0.84231080,-177.31250000
-38.85129032,0.85360270,-175.05420000
