Frequency,Channel A,Channel B
(ms),(mV),(mV)

-46.95353763,-211.31020000,-44.95987000
-46.93305763,-211.87470000,-45.86321000
-46.91257763,-211.87470000,-45.86321000
-46.89209763,-213.01920000,-46.54683000
-46.87161763,-213.58380000,-47.22434000
-46.85113763,-214.72820000,-48.35352000
-46.83065763,-215.29280000,-49.03714000
-46.81017763,-215.85740000,-49.71465000
-46.78969763,-216.42200000,-50.39216000
-46.76921763,-217.00180000,-50.84383000
-46.74873763,-218.71090000,-51.29551000
-46.72825763,-219.27550000,-51.75329000
-46.70777763,-220.41990000,-52.20496000
-46.68729763,-220.98450000,-52.20496000
-46.66681763,-221.54910000,-52.43080000
-46.64633763,-222.12900000,-52.88247000
-46.62585763,-222.69350000,-53.10831000
-46.60537763,-223.83800000,-53.33414000
-46.58489763,-224.40260000,-54.46943000
-46.56441763,-224.96720000,-55.14695000
-46.54393763,-225.54700000,-55.37278000
-46.52345763,-226.11160000,-55.82446000
-46.50297763,-227.24080000,-56.27613000
-46.48249763,-228.38530000,-56.95974000
-46.46201763,-229.52970000,-57.86309000
-46.44153763,-230.09430000,-58.54060000
-46.42105763,-230.09430000,-58.77254000
-46.40057763,-230.65890000,-59.22422000
-46.38009763,-231.23870000,-59.90173000
-46.35961763,-231.80330000,-60.35340000
-46.33913763,-232.36790000,-61.26285000
-46.31865763,-232.94780000,-61.71453000
-46.29817763,-233.51240000,-61.71453000
-46.27769763,-234.07700000,-62.16620000
-46.25721763,-235.78600000,-62.39204000
-46.23673763,-236.35060000,-63.06955000
-46.21625763,-236.93040000,-63.75316000
-46.19577763,-237.49500000,-64.20484000
-46.17529763,-237.49500000,-64.65652000
-46.15481763,-238.05960000,-64.88235000
-46.13433763,-238.05960000,-65.78570000
-46.11385763,-238.62420000,-66.46931000
-46.09337763,-238.62420000,-67.14682000
-46.07289763,-239.76870000,-67.37266000
-46.05241763,-240.33330000,-67.37266000
-46.03193763,-241.47770000,-67.59850000
-46.01145763,-242.60690000,-67.82433000
-45.99097763,-243.18670000,-68.73379000
-45.97049763,-242.62210000,-68.73379000
-45.95001763,-243.18670000,-68.73379000
-45.92953763,-243.75130000,-68.95962000
-45.90905764,-243.75130000,-69.86297000
-45.88857764,-244.33120000,-70.54047000
-45.86809764,-244.33120000,-71.44993000
-45.84761764,-244.33120000,-72.12744000
-45.82713764,-244.89580000,-72.35328000
-45.80665764,-247.16940000,-73.03078000
-45.78617764,-247.16940000,-73.48856000
-45.76569764,-247.73400000,-74.16608000
-45.74521764,-248.31380000,-73.71440000
-45.72473764,-249.44300000,-73.94025000
-45.70425764,-250.58750000,-74.39191000
-45.68377764,-251.71670000,-74.39191000
-45.66329764,-252.29650000,-74.84359000
-45.64281764,-252.86110000,-75.52110000
-45.62233764,-254.00550000,-75.75304000
-45.60185764,-254.57010000,-76.20471000
-45.58137764,-255.15000000,-76.88223000
-45.56089764,-255.15000000,-77.33390000
-45.54041764,-255.15000000,-77.55974000
-45.51993764,-255.71460000,-78.23724000
-45.49945764,-255.71460000,-78.46919000
-45.47897764,-255.71460000,-78.46919000
-45.45849764,-256.27910000,-79.37254000
-45.43801764,-256.84380000,-79.37254000
-45.41753764,-257.42360000,-80.05005000
-45.39705764,-257.98820000,-80.50783000
-45.37657764,-259.11740000,-80.27588000
-45.35609764,-259.11740000,-80.73366000
-45.33561764,-259.69720000,-80.95950000
-45.31513764,-260.26180000,-81.41117000
-45.29465764,-260.82640000,-81.41117000
-45.27417764,-260.82640000,-82.08868000
-45.25369764,-260.82640000,-82.54036000
-45.23321764,-261.40630000,-82.99203000
-45.21273764,-260.82640000,-84.12732000
-45.19225764,-261.40630000,-84.35316000
-45.17177764,-261.97090000,-84.80482000
-45.15129764,-262.53550000,-85.03067000
-45.13081764,-264.24450000,-86.84346000
-45.11033764,-264.82430000,-87.06931000
-45.08985764,-265.95350000,-87.06931000
-45.06937764,-266.53340000,-87.06931000
-45.04889764,-267.09800000,-87.52097000
-45.02841764,-267.66260000,-87.97875000
-45.00793764,-267.66260000,-87.97875000
-44.98745764,-268.22720000,-88.65627000
-44.96697764,-267.09800000,-87.29514000
-44.94649764,-267.66260000,-87.29514000
-44.92601764,-267.66260000,-87.97875000
-44.90553764,-267.09800000,-88.88210000
-44.88505764,-267.66260000,-88.88210000
-44.86457764,-267.66260000,-88.88210000
-44.84409764,-268.80700000,-89.33378000
-44.82361764,-269.37160000,-89.33378000
-44.80313764,-269.37160000,-90.01128000
-44.78265764,-269.93620000,-90.46906000
-44.76217764,-270.51610000,-90.46906000
