Frequency,Channel A,Channel B
(ms),(mV),(mV)

-45.23737134,-210.16570000,-42.62520000
-45.21689134,-210.73030000,-42.73812000
-45.19641134,-210.73030000,-42.73812000
-45.17593134,-211.87470000,-42.51228000
-45.15545134,-212.43930000,-42.62520000
-45.13497134,-213.01920000,-42.39936000
-45.11449134,-213.01920000,-42.28339000
-45.09401134,-212.43930000,-42.39936000
-45.07353134,-213.01920000,-42.62520000
-45.05305134,-213.01920000,-42.85409000
-45.03257134,-213.58380000,-42.73812000
-45.01209134,-213.01920000,-42.85409000
-44.99161134,-213.58380000,-42.73812000
-44.97113134,-213.58380000,-42.62520000
-44.95065134,-213.58380000,-42.73812000
-44.93017134,-214.72820000,-41.71575000
-44.90969134,-215.29280000,-41.71575000
-44.88921134,-215.29280000,-41.71575000
-44.86873134,-215.85740000,-41.60283000
-44.84825134,-217.00180000,-41.71575000
-44.82777134,-217.00180000,-41.82867000
-44.80729134,-217.56650000,-41.94159000
-44.78681134,-218.13100000,-42.05756000
-44.76633134,-218.13100000,-42.96701000
-44.74585134,-218.13100000,-42.85409000
-44.72537134,-218.71090000,-42.85409000
-44.70489134,-218.71090000,-43.30882000
-44.68441134,-218.71090000,-43.53465000
-44.66393134,-218.71090000,-43.65062000
-44.64345134,-218.71090000,-43.53465000
-44.62297134,-218.71090000,-42.96701000
-44.60249134,-218.13100000,-42.73812000
-44.58201134,-217.56650000,-42.62520000
-44.56153134,-217.00180000,-42.62520000
-44.54105134,-217.00180000,-42.62520000
-44.52057134,-216.43730000,-42.73812000
-44.50009134,-216.43730000,-42.96701000
-44.47961134,-216.43730000,-42.96701000
-44.45913134,-216.43730000,-43.19590000
-44.43865134,-217.00180000,-43.42173000
-44.41817134,-217.56650000,-43.65062000
-44.39769134,-218.13100000,-43.65062000
-44.37721134,-218.13100000,-43.30882000
-44.35673134,-218.71090000,-42.96701000
-44.33625134,-218.13100000,-42.62520000
-44.31577134,-218.13100000,-42.39631000
-44.29529134,-217.56650000,-42.73812000
-44.27481134,-217.56650000,-42.85104000
-44.25433134,-216.42200000,-42.62520000
-44.23385134,-215.85740000,-42.62520000
-44.21337134,-215.29280000,-42.51228000
-44.19289134,-214.14840000,-42.39631000
-44.17241134,-214.14840000,-42.28339000
-44.15193134,-213.01920000,-42.39936000
-44.13145134,-212.43930000,-42.28339000
-44.11097134,-211.87470000,-42.05756000
-44.09049134,-211.87470000,-42.28339000
-44.07001134,-211.31020000,-42.28339000
-44.04953135,-210.73030000,-42.28339000
-44.02905135,-210.73030000,-42.17048000
-44.00857135,-210.16570000,-42.05756000
-43.98809135,-210.16570000,-42.28339000
-43.96761135,-210.16570000,-41.94159000
-43.94713135,-209.60110000,-42.05756000
-43.92665135,-209.02130000,-41.94159000
-43.90617135,-209.02130000,-41.82867000
-43.88569135,-208.45670000,-41.82867000
-43.86521135,-207.89210000,-41.94159000
-43.84473135,-207.89210000,-41.94159000
-43.82425135,-207.89210000,-41.71575000
-43.80377135,-207.32750000,-41.82867000
-43.78329135,-207.32750000,-40.80630000
-43.76281135,-207.32750000,-40.69033000
-43.74233135,-206.74760000,-40.57741000
-43.72185135,-206.74760000,-40.35157000
-43.70137135,-206.18300000,-40.00977000
-43.68089135,-205.05380000,-40.12268000
-43.66041135,-203.90940000,-40.12268000
-43.63993135,-203.34480000,-40.12268000
-43.61945135,-202.20040000,-41.03213000
-43.59897135,-201.63580000,-41.14811000
-43.57849135,-201.07120000,-40.91922000
-43.55801135,-200.50660000,-40.91922000
-43.53753135,-200.50660000,-40.69033000
-43.51705135,-200.50660000,-40.35157000
-43.49657135,-199.92670000,-40.23560000
-43.47609135,-198.79760000,-40.00977000
-43.45561135,-197.65310000,-39.78088000
-43.43513135,-197.08850000,-39.43907000
-43.41465135,-196.50870000,-39.66796000
-43.39417135,-195.94410000,-40.00977000
-43.37369135,-194.79960000,-40.46449000
-43.35321135,-193.67050000,-40.57741000
-43.33273135,-193.09060000,-40.23560000
-43.31225135,-193.09060000,-40.00977000
-43.29177135,-193.09060000,-39.55504000
-43.27129135,-191.96140000,-39.32615000
-43.25081135,-191.38160000,-39.32615000
-43.23033135,-189.68780000,-39.09726000
-43.20985135,-188.54330000,-39.09726000
-43.18937135,-187.97870000,-38.87143000
-43.16889135,-186.26970000,-38.52962000
-43.14841135,-185.12530000,-38.41669000
-43.12793135,-183.98080000,-38.64254000
