Time,Channel A,Channel B
(ms),(V),(V)

1.42956138,1.71926000,-5.90319500
1.45004138,1.76442800,-5.90319500
1.47052138,1.80974800,-5.90319500
1.49100138,1.80974800,-5.90319500
1.51148138,1.80974800,-5.90319500
1.53196138,1.85491500,-5.90319500
1.55244138,1.90023500,-5.90319500
1.57292138,1.90023500,-5.90319500
1.59340138,1.90023500,-5.99353000
1.61388138,1.94540200,-5.99353000
1.63436138,1.99072200,-5.90319500
1.65484138,1.99072200,-5.90319500
1.67532138,2.03604200,-5.90319500
1.69580138,2.03604200,-5.90319500
1.71628138,2.08121000,-5.90319500
1.73676138,2.08121000,-5.90319500
1.75724138,2.12653000,-5.90319500
1.77772138,2.12653000,-5.90319500
1.79820138,2.12653000,-5.90319500
1.81868138,2.17169700,-5.90319500
1.83916138,2.17169700,-5.90319500
1.85964138,2.21701700,-5.90319500
1.88012138,2.21701700,-5.90319500
1.90060138,2.26218500,-5.90319500
1.92108138,2.26218500,-5.90319500
1.94156138,2.30750400,-5.90319500
1.96204138,2.30750400,-5.90319500
1.98252138,2.35282400,-5.90319500
2.00300138,2.35282400,-5.90319500
2.02348138,2.39799200,-5.90319500
2.04396138,2.39799200,-5.90319500
2.06444138,2.39799200,-5.90319500
2.08492138,2.44331200,-5.90319500
2.10540138,2.44331200,-5.90319500
2.12588138,2.48847900,-5.90319500
2.14636138,2.48847900,-5.90319500
2.16684138,2.53379900,-5.90319500
2.18732138,2.53379900,-5.90319500
2.20780138,2.53379900,-5.90319500
2.22828138,2.57896700,-5.90319500
2.24876138,2.62428700,-5.90319500
2.26924137,2.62428700,-5.99353000
2.28972137,2.62428700,-5.99353000
2.31020137,2.66945400,-5.99353000
2.33068137,2.66945400,-6.08356000
2.35116137,2.71477400,-6.08356000
2.37164137,2.71477400,-5.99353000
2.39212137,2.76009400,-5.99353000
2.41260137,2.76009400,-6.08356000
2.43308137,2.76009400,-6.08356000
2.45356137,2.76009400,-6.08356000
2.47404137,2.80526100,-6.08356000
2.49452137,2.85058100,-6.08356000
2.51500137,2.85058100,-6.08356000
2.53548137,2.85058100,-6.08356000
2.55596137,2.89574900,-6.08356000
2.57644137,2.89574900,-6.08356000
2.59692137,2.94106900,-6.08356000
2.61740137,2.94106900,-6.08356000
2.63788137,2.98623600,-6.17389400
2.65836137,2.98623600,-6.17389400
2.67884137,2.98623600,-6.17389400
2.69932137,3.03155600,-6.17389400
2.71980137,3.03155600,-6.17389400
2.74028137,3.07687600,-6.26422900
2.76076137,3.07687600,-6.17389400
2.78124137,3.07687600,-6.26422900
2.80172137,3.12204400,-6.17389400
2.82220137,3.12204400,-6.26422900
2.84268137,3.16736300,-6.26422900
2.86316137,3.16736300,-6.26422900
2.88364137,3.16736300,-6.26422900
2.90412137,3.21253100,-6.17389400
2.92460137,3.25785100,-6.17389400
2.94508137,3.25785100,-6.26422900
2.96556137,3.25785100,-6.26422900
2.98604137,3.25785100,-6.17389400
3.00652137,3.25785100,-6.17389400
3.02700137,3.30301800,-6.17389400
3.04748137,3.34833800,-6.17389400
3.06796137,3.34833800,-6.08356000
3.08844137,3.34833800,-6.08356000
3.10892137,3.34833800,-6.08356000
3.12940137,3.39350600,-6.08356000
3.14988137,3.39350600,-6.08356000
3.17036137,3.39350600,-6.08356000
3.19084137,3.43882600,-5.99353000
3.21132137,3.43882600,-5.99353000
3.23180137,3.48414600,-5.99353000
3.25228137,3.48414600,-5.99353000
3.27276137,3.48414600,-5.99353000
3.29324137,3.52931300,-5.99353000
